OutageID,ResourceID,WebURL,Subject,Content,OutageStart,OutageEnd,SiteID
4233,gateways.xes.xsede.org,https://www.xsede.org/news/-/news/item/4233,"Partial outage in Inca status pages 8/25","Allocated users will be unable to view some Inca status pages while a database issue is being resolved. This affects all HPC resources that Inca monitors.

http://inca.teragrid.org

For information about resource status during the maintenance period, please contact the TeraGrid help desk.",2009-08-25T19:30:00Z,2009-08-25T23:30:00Z,xes.xsede.org
4233,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4233,"Partial outage in Inca status pages 8/25","Allocated users will be unable to view some Inca status pages while a database issue is being resolved. This affects all HPC resources that Inca monitors.

http://inca.teragrid.org

For information about resource status during the maintenance period, please contact the TeraGrid help desk.",2009-08-25T19:30:00Z,2009-08-25T23:30:00Z,xes.xsede.org
4217,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4217,"TGCDB production server hogatha planned maintenance outage","The TeraGrid Central DataBase  (TGCDB) server hogatha will undergo an operating system upgrade and all services that rely upon it will be unavailable for the duration of the outage.  These include the TeraGrid Portal, TeraGrid User News, AMIE, the TGU web page, GX-MAP, and Information Services.",2009-08-27T22:00:00Z,2009-08-28T06:00:00Z,xes.xsede.org
4236,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4236,"TeraGrid User News offline briefly","On Tuesday, September 1, TeraGrid User News will be off line briefly during server maintenance. Actual downtime is expected to be no longer than 40 minutes and will occur between 6 and 7 pm PT.",2009-09-02T01:00:00Z,2009-09-02T02:00:00Z,xes.xsede.org
4280,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4280,"Extended repo.teragrid.org and software.teragrid.org outage","TeraGrid servers repo.teragrid.org and software.teragrid.org will be down at least thru this Saturday, October 3rd, while the hardware is moved to a new building and machine room. Sorry for the late notice, the outage was expected to only happen this Saturday but unanticipated circumstances forced the move to start today.",2009-09-30T12:00:00Z,2009-10-03T23:00:00Z,xes.xsede.org
4289,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/4289,"Planned TG Denver Hub Network Outage Oct. 9th 5-7 AM","The TG Denver hub will have maintenance performed on Friday 10/9/2009 at 0500-0700 CDT. This is intended to upgrade the code on the router to maintain operation on a supported version of the router software.

A few 5 to 10 minute outages will be experienced while the code is upgraded but the entire 2 hour window is reserved for this maintenance.

Please direct any comments or concerns to neteng@ncsa.edu

Thank you.",2009-10-09T10:00:00Z,2009-10-09T11:45:00Z,xes.xsede.org
4365,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/4365,"Network Maintenance","The IRNL ETF systems will be unavailable for an hour due to router maintenance.",2009-12-10T22:30:00Z,2009-12-10T23:30:00Z,xes.xsede.org
4370,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4370,"TGCDB service outage","The TeraGrid Central Database is unreachable.  The initial diagnosis is a networking problem.   SDSC IT staff is working the problem.  We apologize for the incovenience and will keep you posted.",2009-12-15T18:00:00Z,2009-12-15T20:00:00Z,xes.xsede.org
4425,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4425,"TeraGrid central database UP","TGCDB service has unavailable due to a network problem at SDSC since 0930 Jan 14 Pac time.  The problem is being addressed and updates will be posted.  We apologize for the inconvenience.",2010-01-14T17:30:00Z,2010-01-14T23:30:00Z,xes.xsede.org
4428,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4428,"Inca service unavailable","The Inca service has been unavailable since 9:30AM Jan 14 Pacific time due to a network problem at SDSC. The problem is being addressed and updates will be posted. We apologize for the inconvenience.",2010-01-14T17:30:00Z,2010-01-14T23:30:00Z,xes.xsede.org
4437,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/4437,"CHI Router Maintenance","The Chicago TeraGrid router will be unavailable on Thurs 1/21/10 from 6-8am CST while we upgrade the compact flash and the running software image.",2010-01-21T12:00:00Z,2010-01-21T14:00:00Z,xes.xsede.org
4447,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/4447,"CHI router maintenance","The Chicago TeraGrid router will be unavailable on Wed 1/27/10 from 6-7am CST while we perform maintenance.",2010-01-27T12:00:00Z,2010-01-27T13:00:00Z,xes.xsede.org
4470,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4470,"TGCDB fail-over testing 2/6/2010 POSTPONED","On Saturday February 6th, 2010 at 11 a.m. CST (9:00 a.m. PST,
10:00 a.m. MTN, and 12:00 noon EST) a scheduled test of the
TeraGrid Central Database (TGCDB) failover mechanism will be
performed.  The duration of the test will be three to four
hours. During this time the following resources that depend
upon TGCDB may be unavailable:  

    * TeraGrid Portal
    * TeraGrid User News
    * AMIE
    * TGusage
    * TGU web page
    * GX-MAP
    * Information Services

Questions? Please contact Jeff Koerner, TeraGrid Project
manager: jkoerner@uchicago.edu


Elizabeth Leake, Assistant Director
TeraGrid External Relations

Argonne National Laboratory
Bldg. 240
9700 South Cass Avenue
Argonne, Illinois 60439",2010-02-06T15:00:00Z,2010-02-06T19:00:00Z,xes.xsede.org
4474,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/4474,"possible 5 minute outages on LA teragrid router","It is possible that there might be several small 5 minute outages thursday morning 2/11/10 between 10:00 and 13:00 Pacific time as the flash memory is replaced in the LAX router.",2010-02-11T18:00:00Z,2010-02-11T21:00:00Z,xes.xsede.org
4493,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/4493,"Planned PSC Network System Maintenance Feb 22 and Feb 23","PSC will be performing network hardware maintenance on Feb 22 between 12PM - 1PM EST.  There is a small possibility of a 5 minute outage during that window to PSC's ETF/NLR (NLR-STAR-PITT-OC192-263) connection.

On Feb 23, between 6:30AM - 7:30AM EST, PSC's ETF router will have its software updated.  The PSC's connection to ETF/NLR (NLR-STAR-PITT-OC192-263) will be affected during the upgrade.",2010-02-23T11:30:00Z,2010-02-23T12:30:00Z,xes.xsede.org
4492,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4492,"reminder: TGCDB fail-over testing 2/27/2010","The previously postponed TGCDB failover test has been rescheduled for Saturday, February, 27

On Saturday February 27th, 2010 at 11 a.m. CST (9:00 a.m. PST, 10:00 a.m. MTN, and 12:00 noon EST) a scheduled test of the TeraGrid Central Database (TGCDB) failover mechanism will be performed. The duration of the test will be three to four hours. During this time the following resources that depend upon the TGCDB may be unavailable:

    * TeraGrid Portal
    * TeraGrid User News
    * AMIE
    * TGusage
    * TGU web page
    * GX-MAP
    * Information Services

Questions? Please contact Jeff Koerner: jkoerner@uchicago.edu",2010-02-27T17:00:00Z,2010-02-27T21:00:00Z,xes.xsede.org
4528,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4528,"TGCDB maintenance on 3/23 from 1700-1730 PST","The TeraGrid Central Database (TGCDB) server will be rebooted on Tuesday March 23 at approximately 1710 Pacific Standard Time.  Dependent TGCDB services such as the portal will be unavailable for the duration of the operation but will be back in service no later than 1730.",2010-03-24T00:00:00Z,2010-03-24T00:30:00Z,xes.xsede.org
4601,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4601,"TeraGrid User News site back in production","The TeraGrid User News site will be unavailable from 7AM to 7PM (PT) on Sunday, April 25th, 2010. The outage is due to the scheduled SAN infrastructure move at SDSC. Please email help@teragrid.org if you have any questions.",2010-04-25T07:00:00Z,2010-04-26T14:30:00Z,xes.xsede.org
4642,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/4642,"NLR maintenance on circuit between DEN and LOSA","Due to NLR maintenance on the circuit between Denver and LosAngeles, SDSC systems will not be accessible via TeraGrid.",2010-05-10T09:00:00Z,2010-05-10T11:00:00Z,xes.xsede.org
4643,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/4643,"Scheduled Power Outage","There is a planned power outage at ORNL. The Site router will be down during this outage.",2010-05-14T20:00:00Z,2010-05-15T16:00:00Z,xes.xsede.org
4646,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4646,"repo/software.teragrid.org outage","Tuesday, May 18th, from 8:00 AM to 9:00 AM Central repo/software.teragrid.org will be down for maintenance for less than 1 hour.",2010-05-18T13:00:00Z,2010-05-18T14:00:00Z,xes.xsede.org
4702,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4702,"TG News back online","TeraGrid News will be offline this Friday, June 18, 2010 from 10 a.m. to 3 p.m. PT (1 p.m. to 6 p.m. ET) for a database maintenance period. During this time, the application will be converted to use a new backend database.

If you had planned to post items during this time, please try to post them well ahead of the outage instead. Email distribution will be interrupted. Since message distribution is serial and requires at least 10 minutes per item, multiple items posted at the last minute will likely not be distributed until after the outage.

The updated service will be used to inform subscribers when it is again available.",2010-07-01T23:00:00Z,2010-07-02T01:00:00Z,xes.xsede.org
4750,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4750,"TeraGrid Web Presence Outage","The TeraGrid User Portal and TeraGrid Web Site are currently down due to an unexpected disk problem. We hope to have this resolved soon, and apologize for any inconvenience this may be causing. We will update the user news item as soon as possible.

For questions please contact help@teragrid.org",2010-07-12T15:15:00Z,2010-07-12T16:15:00Z,xes.xsede.org
4740,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4740,"SDSC NFS file server downtime","On Tuesday, July 20th, beginning at 5:05pm, IT Services will be
rebooting the ''cavern'' NFS server.  During this reboot time, all
websites and MySQL services will be unavailable.  The actual downtime
is likely to be around 30 minutes, but 2 hours has been reserved to
allow for time to deal with unexpected problems.",2010-07-21T00:05:00Z,2010-07-21T02:05:00Z,xes.xsede.org
4761,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/4761,"ORNL System Outage","There will be an ORNL system outage to modify routing to prepare for system move.",2010-07-23T13:30:00Z,2010-07-23T15:30:00Z,xes.xsede.org
4824,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4824,"repo/software.teragrid.org outage on September 11","Saturday, September 11th, from 6:00 AM to 6:00 PM Central repo/software.teragrid.org services will be down due to a planned power outage.",2010-09-11T11:00:00Z,2010-09-11T23:00:00Z,xes.xsede.org
4839,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4839,"TeraGrid Central DataBase server (TGCDB) to be rebooted","On September 28 at 5pm Pacific time the TGCDB server hogatha will be rebooted.  This will take between five and 10 minutes and during this brief period the TGCDB will be unavailable.  Affected services include the TeraGrid Portal, TeraGrid User News, tgusage, the TGU web page, GX-MAP, and Information Services.",2010-09-29T00:00:00Z,2010-09-29T00:10:00Z,xes.xsede.org
4909,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4909,"Inca outage for upgrade today","Inca testing and web status pages will be down intermittently for a software upgrade this afternoon.",2010-10-22T22:00:00Z,2010-10-23T02:00:00Z,xes.xsede.org
4922,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4922,"Inca outage for upgrade today","Inca web status pages will be down intermittently to continue a software upgrade this evening.",2010-10-27T23:00:00Z,2010-10-28T07:00:00Z,xes.xsede.org
4935,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4935,"Inca outage for server upgrade","Inca testing and web status pages will be down for a server upgrade.",2010-11-03T16:30:00Z,2010-11-03T22:30:00Z,xes.xsede.org
4959,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4959,"TGCDB Upcoming Outage Sat. Nov. 20th","The TeraGrid Central Database will be unavailable for a version upgrade on Saturday, November 20th, 2010 from 3 a.m. PT to 3 p.m. PT

Please send e-mail to help@teragrid.org with questions or concerns.",2010-11-20T11:00:00Z,2010-11-20T23:00:00Z,xes.xsede.org
4981,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/4981,"repo/software.teragrid.org outage December 3 thru 5","From 6 PM Friday December 3 thru Sunday December 5 repo/software.teragrid.org services will be down due to a planned power outage.",2010-12-04T00:00:00Z,2010-12-06T05:00:00Z,xes.xsede.org
5017,networking.xes.xsede.org,https://www.xsede.org/news/-/news/item/5017,"TeraGrid network outage","All TeraGrid connections to the Chicago T640 dropped between 1:15-1:50 CST due to electrical problems at the Chicago co-lo facility.  No further disruption is expected.",2010-12-31T19:15:00Z,2010-12-31T19:50:00Z,xes.xsede.org
5042,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/5042,"TGCDB outage","The server hosting the TeraGrid Central Database (TGCDB) will be rebooted at 8am PT to completing testing the Nov 20 Postgresql 8.4 upgrade.",2011-01-29T16:00:00Z,2011-01-29T16:30:00Z,xes.xsede.org
5092,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/5092,"TeraGrid MyProxy Back in Service","We are working to resolve an issue with the TG Myproxy authentication.  At this time access using the TG myproxy is not working.

This will affect users trying to access the TG User Portal, TeraGrid Ticket System, etc. TeraGrid Ticket System users can still access the ticket system using kerberos authentication.

We will post news as soon as we have an update.

Please send e-mail to help@teragrid.org with questions or concerns.",2011-02-21T13:00:00Z,2011-02-21T15:00:00Z,xes.xsede.org
5099,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/5099,"TGCDB server reboot","The server hosting the TeraGrid Central Database (TGCDB) will be rebooted on 08-Mar-2011 at 8am PT.  The process will take approximately 15 minutes and during that time all TGCDB dependent services will be unavailable.",2011-03-12T16:00:00Z,2011-03-12T16:15:00Z,xes.xsede.org
5143,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/5143,"TGCDB upgrade","The TeraGrid central Database will be upgraded from version 8.4.5 to 8.4.7 at 5pm PT today.  There will be a 5 minute service break while the database is restarted.",2011-03-23T00:00:00Z,2011-03-23T00:05:00Z,xes.xsede.org
5203,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/5203,"Inca outage for server upgrade","Inca testing and web status pages will be down for a server upgrade.",2011-05-02T23:00:00Z,2011-05-05T03:00:00Z,xes.xsede.org
5217,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/5217,"Upgrade to portal accounting system and POPS","On Thursday May 12th between 10:30am and 12:30pm CT the TeraGrid User Portal will be undergoing an upgrade to streamline the registration process for new TeraGrid users. This upgrade may cause brief unavailability in the Portal, POPS and TeraGrid Central Database during this time. We will update this notification when the process is completed.

If you have any issues or questions please contact the TeraGrid Help Desk at:
https://portal.teragrid.org/help-desk",2011-05-12T15:30:00Z,2011-05-12T17:30:00Z,xes.xsede.org
5251,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/5251,"repo/software.teragrid.org outage May 27 thru 30","From 6 PM Friday May 27 thru ~3 PM Monday May 30  repo/software.teragrid.org services will be down due to a planned power outage.",2011-05-27T23:00:00Z,2011-05-30T20:00:00Z,xes.xsede.org
5268,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/5268,"repo/software.teragrid.org outage June 6","repo/software.teragrid.org is down briefly while we complete the last phase of a hardware migration. We expect most services to be operational by 6 PM Central.",2011-06-06T22:00:00Z,2011-06-07T00:00:00Z,xes.xsede.org
5252,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/5252,"TGCDB server patching","The TeraGrid Central Database servers azrael and hogatha will be patched and rebooted at 5pm PT.  All dependent services will be unavailable for approximately 15 minutes.",2011-06-08T00:00:00Z,2011-06-08T00:15:00Z,xes.xsede.org
5266,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/5266,"Myproxy.teragrid.org Maintenance: Thu Jun 9","At 1pm CT on Thursday, June 9 the IP  addresses for myproxy.teragrid.org, myproxy.ncsa.uiuc.edu, and ca.ncsa.uiuc.edu will be updated in DNS. Users may experience a short outage for these services during the transition and while the DNS changes propagate.",2011-06-09T18:00:00Z,2011-06-09T19:00:00Z,xes.xsede.org
5278,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/5278,"kerberos.teragrid.org maintenance Wed Jun 15","At 1 pm CT on Wed Jun 15 the primary kerberos.teragrid.org server will be moved and its IP address will be updated in DNS. During the move, which is expected to last under one hour, users will be unable to change their TeraGrid passwords or create new TeraGrid accounts. The backup TeraGrid Kerberos server will remain in operation, so users will be able to sign in to the TeraGrid User Portal and access other TeraGrid resources as normal.",2011-06-15T18:00:00Z,2011-06-15T19:00:00Z,xes.xsede.org
5298,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/5298,"TGCDB upgrade from 0300 to 0900 PT","The TeraGrid Central DataBase TGCDB will be moved from one server to another.  All dependent services will be unavailable for the duration of the outage.",2011-06-25T10:00:00Z,2011-06-25T16:00:00Z,xes.xsede.org
5313,general-user-news.xes.xsede.org,https://www.xsede.org/news/-/news/item/5313,"POPS, Ticket System downtime","The Partnerships Online Proposal System (POPS) and the TeraGrid / XSEDE  ticket system will be undergoing upgrades and will be unavailable from 1:00 PM CT July 3rd, 2011 to 1:00 PM CT July 4th, 2011.  Notification will be sent when these systems are back online.

During the outage, email sent to the Helpdesk will be queued and held until the ticket system is back online.  The Helpdesk''s toll free line (1-866-907-2383) will remain in service.",2011-07-03T18:00:00Z,2011-07-04T18:00:00Z,xes.xsede.org
